name,type,identifier
"Minerals (MDPI)",rss,https://www.mdpi.com/rss/journal/minerals
"Metals (MDPI)",rss,https://www.mdpi.com/rss/journal/metals
"SAIMM Journal",rss,https://www.saimm.co.za/journal-papers?format=feed&type=rss
"Nature Geoscience",journal,"Nature Geoscience"
"Nature Communications",journal,"Nature Communications"
"Minerals Engineering",journal,"Minerals Engineering"
"Hydrometallurgy",journal,"Hydrometallurgy"
"Powder Technology",journal,"Powder Technology"
"Journal of Process Control",journal,"Journal of Process Control"
"Control Engineering Practice",journal,"Control Engineering Practice"
"Mining, Metallurgy & Exploration",journal,"Mining, Metallurgy & Exploration"
"Journal of Cleaner Production",journal,"Journal of Cleaner Production"
"Resources Policy",journal,"Resources Policy"
"Resources, Conservation & Recycling",journal,"Resources, Conservation and Recycling"
"Bioresource Technology",journal,"Bioresource Technology"
"Waste Management",journal,"Waste Management"
"Journal of Sustainable Metallurgy",journal,"Journal of Sustainable Metallurgy"
"Mine Water and the Environment",journal,"Mine Water and the Environment"
"Canadian Metallurgical Quarterly",journal,"Canadian Metallurgical Quarterly"
"IEEE Transactions on Industry Applications",journal,"IEEE Transactions on Industry Applications"
"International Journal of Rock Mechanics",journal,"International Journal of Rock Mechanics and Mining Sciences"
